1,Sony Playstation 4 Pro,Video Games,499.99,50
2,Nintendo Switch,Video Games,299.99,30
3,Apple Mac Air,Computers and Laptops,1079.99,20
4,Apple Iphone XS,Cellphones,999.99,10
5,Supreme T-shirt,Men's Apparel,53.99,20
6,Calvin Klein Women's Cap-Sleeve Side-Ruched Sheath Dress,Women's Apparel,23.99,40
7,Stuhrling Winchester Black Dial Watch,Watches,157.97,15
8,Lacoste Men’s Bayliss Sneakers,Fashion Sneakers,89.95,35
9,The Sak Sanibel Mini Crossbody,Minibags,49.99,25
10,Calvin Klein Men's X Fit Slim Stretch Suit, Suits,299.99,13
